alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.12.weight,0.9947294289674836
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.14.weight,0.9820948506970114
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.16.weight,0.9588620001512195
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.2.weight,0.9992757953765169
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.4.weight,0.9993660693805366
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.6.weight,0.9997053168311432
2.0,3.0,alpha_2.0_g_3.0,2,pearson,features.8.weight,features.8.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,classifier.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.0.weight,0.8894129505907493
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.10.weight,0.9395391652030625
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.12.weight,0.9661906604256947
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.14.weight,0.9869137242064313
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.16.weight,0.9973313319576383
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.2.weight,0.8942414243230662
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.4.weight,0.8950255350046119
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.6.weight,0.9029609414627321
2.0,3.0,alpha_2.0_g_3.0,4,pearson,classifier.weight,features.8.weight,0.917162961909077
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,classifier.weight,0.8894129505907493
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.0.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.10.weight,0.9917096073304275
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.12.weight,0.9766159388387986
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.14.weight,0.9504763524131165
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.16.weight,0.9190650920120325
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.2.weight,0.9997424635389232
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.4.weight,0.9996254355419854
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.6.weight,0.9991390150018471
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.0.weight,features.8.weight,0.997502236786898
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,classifier.weight,0.9395391652030625
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.0.weight,0.9917096073304275
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.12.weight,0.9960092480984252
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.14.weight,0.982124476776921
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.16.weight,0.9613271447152503
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.2.weight,0.9931729001667267
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.4.weight,0.9934482755867193
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.6.weight,0.9953923643260616
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.10.weight,features.8.weight,0.9981203702318989
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,classifier.weight,0.9661906604256947
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.0.weight,0.9766159388387986
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.10.weight,0.9960092480984252
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.14.weight,0.9949670185511258
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.16.weight,0.9820059300342366
2.0,3.0,alpha_2.0_g_3.0,4,pearson,features.12.weight,features.2.weight,0.9790463441981272
