alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.0.weight,0.9889051027785941
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.10.weight,0.9963458629142757
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.12.weight,0.9992346451546164
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.16.weight,0.9995186791482036
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.2.weight,0.9823721667100059
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.4.weight,0.9834186585546664
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.6.weight,0.9867923859803343
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.14.weight,features.8.weight,0.9913043504534762
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,classifier.weight,0.9995105664713292
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.0.weight,0.9839495424028015
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.10.weight,0.9932145775322901
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.12.weight,0.9975389375054303
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.14.weight,0.9995186791482036
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.2.weight,0.9761469364730384
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.4.weight,0.9773306945288549
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.6.weight,0.9812968018349779
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.16.weight,features.8.weight,0.9867419943831505
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,classifier.weight,0.9688192452688386
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.0.weight,0.9991873328386642
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.10.weight,0.994657547625035
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.12.weight,0.9888496314013957
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.14.weight,0.9823721667100059
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.16.weight,0.9761469364730384
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.2.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.4.weight,0.9999603405331292
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.6.weight,0.9996360869138297
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.2.weight,features.8.weight,0.9983438788075258
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.4.weight,classifier.weight,0.9701542418047021
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.4.weight,features.0.weight,0.9993042193459795
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.4.weight,features.10.weight,0.9952832277139886
2.0,3.0,alpha_2.0_g_3.0,3,dcor,features.4.weight,features.12.weight,0.9897190764423184
