alpha,sigma,run_id,delta_t,method,layer_A,layer_B,correlation
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.16.weight,0.9756349518154406
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.2.weight,0.9998930187282166
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.4.weight,0.9998089820758728
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.6.weight,0.9997527090623699
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.0.weight,features.8.weight,0.9995528202658654
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,classifier.weight,0.9639198076752047
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.0.weight,0.9987847037191677
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.10.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.12.weight,0.999043363650566
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.14.weight,0.9946876565989439
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.16.weight,0.9839655392117431
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.2.weight,0.9989074170652392
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.4.weight,0.998967910877554
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.6.weight,0.9991983682097124
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.10.weight,features.8.weight,0.9996642608439339
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,classifier.weight,0.9746019166252458
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.0.weight,0.9960305271830453
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.10.weight,0.999043363650566
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.12.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.14.weight,0.9982113317255631
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.16.weight,0.9907776138715875
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.2.weight,0.9961261327586554
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.4.weight,0.9961706656985622
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.6.weight,0.9965847220426145
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.12.weight,features.8.weight,0.9976343385056805
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,classifier.weight,0.9862271016946961
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.0.weight,0.9892957206612277
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.10.weight,0.9946876565989439
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.12.weight,0.9982113317255631
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.14.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.16.weight,0.9970802879806274
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.2.weight,0.9893136484302958
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.4.weight,0.989324935412901
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.6.weight,0.9899873483942245
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.14.weight,features.8.weight,0.9918105135507128
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,classifier.weight,0.9959471972612672
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.0.weight,0.9756349518154406
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.10.weight,0.9839655392117431
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.12.weight,0.9907776138715875
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.14.weight,0.9970802879806274
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.16.weight,1.0
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.2.weight,0.9755238587600301
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.4.weight,0.9754749945362602
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.6.weight,0.9764229534098895
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.16.weight,features.8.weight,0.9792261094290001
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,classifier.weight,0.9519616302500209
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.0.weight,0.9998930187282166
2.0,3.0,alpha_2.0_g_3.0,4,dcor,features.2.weight,features.10.weight,0.9989074170652392
