Logging initialized in: runs_symlink/mnist_mlp_sweep/alpha_1.2_g_3.0/GeneralMLP_LR0.001_BS1024_20260501_230859_s9
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=3.0)
Applying HT Init: alpha=1.2, g=3.0, seed=9
Epoch 362 | Train Acc: 0.9999 | Test Acc: 0.9305
Epoch 363 | Train Acc: 0.9999 | Test Acc: 0.9302
Epoch 364 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 365 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 366 | Train Acc: 0.9999 | Test Acc: 0.9305
Epoch 367 | Train Acc: 0.9999 | Test Acc: 0.9302
Epoch 368 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 369 | Train Acc: 0.9999 | Test Acc: 0.9306
Epoch 370 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 371 | Train Acc: 0.9999 | Test Acc: 0.9303
Epoch 372 | Train Acc: 0.9999 | Test Acc: 0.9305
Epoch 373 | Train Acc: 0.9999 | Test Acc: 0.9302
Epoch 374 | Train Acc: 1.0000 | Test Acc: 0.9301
Epoch 375 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 376 | Train Acc: 1.0000 | Test Acc: 0.9301
Epoch 377 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 378 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 379 | Train Acc: 1.0000 | Test Acc: 0.9305
Epoch 380 | Train Acc: 1.0000 | Test Acc: 0.9305
Epoch 381 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 382 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 383 | Train Acc: 1.0000 | Test Acc: 0.9301
Epoch 384 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 385 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 386 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 387 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 388 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 389 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 390 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 391 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 392 | Train Acc: 1.0000 | Test Acc: 0.9302
Epoch 393 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 394 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 395 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 396 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 397 | Train Acc: 1.0000 | Test Acc: 0.9304
Epoch 398 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 399 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 400 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 401 | Train Acc: 1.0000 | Test Acc: 0.9303
Epoch 402 | Train Acc: 1.0000 | Test Acc: 0.9305
Epoch 403 | Train Acc: 1.0000 | Test Acc: 0.9306
