Logging initialized in: training_runs/mnist_mlp_sweep/alpha_1.2_g_1.0/GeneralMLP_LR0.001_BS1024_20260427_193210_s4
Overwriting weights with Heavy-Tailed Distribution (α=1.2, g=1.0)
Applying HT Init: alpha=1.2, g=1.0, seed=4
Epoch 285 | Train Acc: 0.9101 | Test Acc: 0.8991
Epoch 286 | Train Acc: 0.9103 | Test Acc: 0.8829
Epoch 287 | Train Acc: 0.9148 | Test Acc: 0.9018
Epoch 288 | Train Acc: 0.9185 | Test Acc: 0.9025
Epoch 289 | Train Acc: 0.9202 | Test Acc: 0.8983
Epoch 290 | Train Acc: 0.9217 | Test Acc: 0.9061
Epoch 291 | Train Acc: 0.9228 | Test Acc: 0.9109
Epoch 292 | Train Acc: 0.9251 | Test Acc: 0.9126
Epoch 293 | Train Acc: 0.9263 | Test Acc: 0.9028
Epoch 294 | Train Acc: 0.9254 | Test Acc: 0.9162
Epoch 295 | Train Acc: 0.9304 | Test Acc: 0.9007
Epoch 296 | Train Acc: 0.9327 | Test Acc: 0.9162
Epoch 297 | Train Acc: 0.9339 | Test Acc: 0.9156
Epoch 298 | Train Acc: 0.9343 | Test Acc: 0.9210
Epoch 299 | Train Acc: 0.9359 | Test Acc: 0.9201
Epoch 300 | Train Acc: 0.9368 | Test Acc: 0.9188
Epoch 301 | Train Acc: 0.9384 | Test Acc: 0.9176
Epoch 302 | Train Acc: 0.9391 | Test Acc: 0.9239
Epoch 303 | Train Acc: 0.9411 | Test Acc: 0.9230
Epoch 304 | Train Acc: 0.9419 | Test Acc: 0.9242
Epoch 305 | Train Acc: 0.9393 | Test Acc: 0.9240
Epoch 306 | Train Acc: 0.9399 | Test Acc: 0.9225
Epoch 307 | Train Acc: 0.9431 | Test Acc: 0.9260
Epoch 308 | Train Acc: 0.9416 | Test Acc: 0.8782
Epoch 309 | Train Acc: 0.9430 | Test Acc: 0.9259
Epoch 310 | Train Acc: 0.9444 | Test Acc: 0.9273
Epoch 311 | Train Acc: 0.9455 | Test Acc: 0.9282
Epoch 312 | Train Acc: 0.9456 | Test Acc: 0.9292
Epoch 313 | Train Acc: 0.9471 | Test Acc: 0.9302
Epoch 314 | Train Acc: 0.9469 | Test Acc: 0.9261
Epoch 315 | Train Acc: 0.9478 | Test Acc: 0.9288
Epoch 316 | Train Acc: 0.9469 | Test Acc: 0.9308
Epoch 317 | Train Acc: 0.9466 | Test Acc: 0.9303
Epoch 318 | Train Acc: 0.9483 | Test Acc: 0.9318
Epoch 319 | Train Acc: 0.9485 | Test Acc: 0.9299
Epoch 320 | Train Acc: 0.9495 | Test Acc: 0.9322
Epoch 321 | Train Acc: 0.9485 | Test Acc: 0.9348
Epoch 322 | Train Acc: 0.9511 | Test Acc: 0.9290
Epoch 323 | Train Acc: 0.9503 | Test Acc: 0.9355
Epoch 324 | Train Acc: 0.9505 | Test Acc: 0.9360
Epoch 325 | Train Acc: 0.9520 | Test Acc: 0.9067
Epoch 326 | Train Acc: 0.9520 | Test Acc: 0.9363
Epoch 327 | Train Acc: 0.9535 | Test Acc: 0.9367
Epoch 328 | Train Acc: 0.9540 | Test Acc: 0.9372
Epoch 329 | Train Acc: 0.9540 | Test Acc: 0.9346
Epoch 330 | Train Acc: 0.9541 | Test Acc: 0.9334
Epoch 331 | Train Acc: 0.9534 | Test Acc: 0.9305
Epoch 332 | Train Acc: 0.9549 | Test Acc: 0.9385
Epoch 333 | Train Acc: 0.9542 | Test Acc: 0.9371
Epoch 334 | Train Acc: 0.9551 | Test Acc: 0.9316
Epoch 335 | Train Acc: 0.9563 | Test Acc: 0.9377
Epoch 336 | Train Acc: 0.9565 | Test Acc: 0.9361
Epoch 337 | Train Acc: 0.9576 | Test Acc: 0.9378
